dzip_name,dem_path,dem_size,dzip_size,enc_zstd_size,enc_gz_size
NR/e3m2_024.dz,e3m2_024.dem,396081,33013,29004,36525
NR/e3m2_025.dz,e3m2_025.dem,400752,33709,29041,36623
NR/e3m2_026.dz,e3m2_026.dem,281144,31336,30731,37561
NR/e3m2_040.dz,e3m2_040.dem,682829,78884,64139,76833
NR/e3m2_045.dz,e3m2_045.dem,346773,57135,56185,64608
NR/e3m2_046.dz,e3m2_046.dem,368668,68171,64885,74881
NR/e3m2_047.dz,e3m2_047.dem,413923,74568,71780,83684
NR/e3m2_048.dz,e3m2_048.dem,343214,66333,63466,73391
NR/e3m2_049.dz,e3m2_049.dem,294631,61411,60045,68343
NR/e3m2_056.dz,e3m2_056.dem,359671,73388,69812,80370
NR/e3m2_114.dz,e3m2_114.dem,276408,59632,58339,66397
NR/e3m3art2_051.dz,e3m3art2_051.dem,1338286,133257,91940,114328
NR/e3m3_024.dz,e3m3_024.dem,522456,48810,39591,48053
NR/e3m3_028.dz,e3m3_028.dem,160823,34740,33028,37171
NR/e3m3_053.dz,e3m3_053.dem,710284,88202,78917,94326
NR/e3m3_055.dz,e3m3_055.dem,752059,84454,78791,94334
NR/e3m3_059.dz,e3m3_059.dem,283278,65406,64786,72832
NR/e3m3_101.dz,e3m3_101.dem,145202,39059,40084,43475
NR/e3m4pin2_015.dz,e3m4pin2_015.dem,380426,32265,22099,28455
NR/e3m4_036.dz,e3m4_036.dem,624927,59826,48438,60295
NR/e3m4_037.dz,e3m4_037.dem,616463,58705,46377,57594
NR/e3m4_038.dz,e3m4_038.dem,530483,56112,46290,56396
NR/e3m4_039.dz,e3m4_039.dem,520768,55846,46002,56146
NR/e3m4_040.dz,e3m4_040.dem,560863,55842,47514,57920
NR/e3m4_041.dz,e3m4_041.dem,563865,59885,53208,64912
NR/e3m4_042.dz,e3m4_042.dem,668409,70880,65982,80716
NR/e3m4_053.dz,e3m4_053.dem,251761,51854,51812,58394
